Symbol	Description
AESO.OB	Atlantic Energy Solutions Inc
AETHF.OB	Aether Global Innovations Corp
AETUF.OB	Arc Energy Trust Uni
AEXAF.OB	Atos Origin Sa
AEXAY.OB	Atos Origin Sa
AFBOF.OB	African Rainbow Minerals Ltd
AFDG.OB	African Discovery Group Inc
AFFCF.OB	American Future Fuel Corp
AFFL.OB	Affiliated Resources Corp
AFFS.OB	Amtrust Financial Services 7.25%
AFFT.OB	Amtrust Financial Services 7.50%
AFFU.OB	Affluence Corp
AFFY.OB	Affymax
AFGYF.OB	Afc Energy Plc.
AFHIF.OB	Atlas Financial Hlds
AFIIQ.OB	Armstrong Flooring Inc
AFLYY.OB	Air France ADR
AFMJF.OB	Alphamin Resources
AFNL.OB	Amtrust Financial Co.
AFOM.OB	All For One Media Corp
AFRAF.OB	Air France Klm
AFSIA.OB	Amtrust Financial Services Pfd A
AFSIB.OB	Amtrust Financial Services Pfd B
AFSIC.OB	Amtrust Financial Services Inc
AFSIM.OB	Amtrust Financial Services Pfd M
AFSIN.OB	Amtrust Financial Services Pfd N
AFSIP.OB	Amtrust Financial Services Inc
AFYG.OB	Affinity Gold Corp
AGAEW.OB	Allied Gaming & Entertainment Inc
AGDXF.OB	Antioquia Gold Inc
AGDY.OB	Agri-Dynamics Inc
AGESY.OB	Ageas N.V. ADR
AGFAF.OB	Digicann Ventures Inc
AGFMF.OB	AGF Management Ltd
AGFXF.OB	Deutsche Bank Ag [London Branch]
AGGI.OB	Allied Energy Inc
AGGZF.OB	Ag Growth Inc Fd
AGILQ.OB	Agilethought Inc
AGIN.OB	American Graphite Technologies Inc
AGLAF.OB	T2 Metals Corp
AGLDF.OB	Austral Gold Ltd
AGLNF.OB	Agl Energy Ltd
AGLWQ.OB	Agilethought Inc WT
AGLXY.OB	Agl Energy Ltd ADR
AGMRF.OB	Silver Mountain Resources Inc
AGNMF.OB	Agronomics Ltd
AGNPF.OB	Algernon Pharmaceuticals Inc
AGPPF.OB	Anglo American Platinum Ltd
AGPYF.OB	Agile Property Holdings Ltd
AGRDF.OB	Auriga Gold Crp Ord
AGRIP.OB	Agribank Fcb
AGRPF.OB	Absa Group Ltd
AGRPY.OB	Absa Group Ltd New A ADR
AGRUF.OB	Af Gruppen ASA
AGSS.OB	Ameriguard Security Services Inc
AGTEF.OB	Agtech Holdings Ltd
AGTK.OB	Agritek Holdings Inc
AGTT.OB	Angstrom Technologies Inc
AGTX.OB	Agentix Corp
AGXKF.OB	Anglo Asian Mng Plc Ord
AGXPF.OB	Silver X Mng Corp
AGXXF.OB	Agilyx ASA
AGYP.OB	Allied Energy Corp
AHCHF.OB	Anhui Conch Cement Co. Ltd
AHCHY.OB	Anhui Conch Cem ADR
AHEXY.OB	Adecco Sa ADR
AHFI.OB	Absolute Health and Fitness Inc
AHGIF.OB	Alternate Health Corp
AHIX.OB	Aluf Holdings Inc
AHKSF.OB	Asahi Kaisei Corp
AHKSY.OB	Asahi Kaisai Cp ADR
AHLAS.OB	Rse Archive Llc.
AHNR.OB	Athena Gold Corp
AHODF.OB	Koninklijke Ahold Delhaize N.V.
AHOTF.OB	American Hotel
AHPIQ.OB	Allied Healthcare Products Inc
AHRO.OB	Authentic Holdings Inc
AHTR.OB	American Healthcare REIT Inc
AIABF.OB	Capital A Berhad
AIAD.OB	Aiadvertising Inc
AIAGF.OB	Aurubis Ag
AIAGY.OB	Aurubis Ag
AIAPF.OB	Ascential Group Ltd
AIBGY.OB	Aib Group Plc ADR
AIBRF.OB	Aib Group Plc
AICAF.OB	Air China Ltd
AICOF.OB	Generative Ai Solutions Corp
AIFS.OB	Agent Info Software
AIGFF.OB	Genesis Ai Corp
AIIXY.OB	Aixtron Se
AIKO.OB	Alternative Investment Corp
AILIH.OB	Ameren Illinois Pfd 4.08%
AILIN.OB	Ameren Illinois Company
AILIO.OB	Ameren Illinois Company
AILIP.OB	Ameren Illinois Company
AILLI.OB	Ameren Illinois Company
AILLM.OB	Ameren Illinois Company
AILLN.OB	Ameren Illinois Company
AILLO.OB	Ameren Illinois Company
AILLP.OB	Ameren Ill Co.
AILQF.OB	Airlq Inc
AIMFF.OB	Aimia Inc
AIMLF.OB	AI / ML Innovations Inc
AINDF.OB	Amundi Index Solutions Sicav
AINMF.OB	Netramark Hldgs Inc
AINSF.OB	Ainsworth Game Tech
AIOSF.OB	Atresmedia Corporacion DE Medios DE Comunicacion
AIPUF.OB	Airports of Thailand Public Co. Ltd
AIPUY.OB	Airports of Thailand Public Co. Ltd
AIQUF.OB	L'Air Liquide Sa
AIQUY.OB	L'Air Liquide ADR
AIRRF.OB	Aurion Resources Ltd
