Symbol	Description
CIWV.OB	Citizens Financial Corp [Wv]
CIXPF.OB	Caixabank Sa
CIXXF.OB	CI Financial Corp OR
CJCFF.OB	Quebec Precious Metals Corp
CJEWF.OB	Chow Tai Fook Jewellery Group Limited
CJEWY.OB	Chow Tai Fook
CJIMF.OB	Gunpoint Exploration Ltd
CJPRF.OB	Central Japan Railway Co.
CJPRY.OB	Central Japan Railwa ADR
CJRCF.OB	China Resources Cement Holdings Ltd
CJREF.OB	Corus Entertainment Inc
CKEFF.OB	Radio Fuels Energy Corp
CKHGY.OB	Capitec Bank Holdings Ltd
CKHUF.OB	Ck Hutchison Holdings Ltd
CKHUY.OB	Ck Hutchison Hlds ADR
CKISF.OB	Ck Infrastructure Holdings Ltd
CKNHF.OB	Clarkson Plc
CKNQP.OB	Cobank Acb
CKOCF.OB	Chudenko Corp
CKSNF.OB	Vesuvius Plc
CLABF.OB	Core One Labs Inc
CLAZF.OB	Claritas Pharmaceuticals Inc
CLBEY.OB	Calbee Inc
CLCFF.OB	Christina Lake Cannabis Corp
CLCGY.OB	Clicks Group Ltd ADR
CLCS.OB	Cell Source Inc
CLEGF.OB	Coles Group Ltd
CLEV.OB	Concrete Leveling Systems Inc
CLGCF.OB	Clarity Metals Corp
CLGDF.OB	Caldas Gold Corp
CLGPF.OB	Clean Seed Capital Group Ltd
CLHI.OB	Clst Holdings Inc
CLHLF.OB	Coltene Holding Ag
CLIEF.OB	Energy Plug Technologies Corp
CLIFF.OB	Cordlife Group Ltd
CLILF.OB	Capitaland Investment Ltd
CLKXF.OB	Twc Enterprises Ltd
CLLEF.OB	Challenger Gold Limited
CLLKF.OB	Bico Group Ab
CLLMF.OB	Collective Metals Inc
CLLNY.OB	Cellnex Telecom Sa ADR
CLLXF.OB	Callinex Mines Inc
CLMPF.OB	Canadian Prem Sand Inc
CLNFF.OB	Calian Group Ltd
CLNV.OB	Clean Vision Corp
CLNXF.OB	Cellnex Telecom S.A.
CLOQ.OB	Cyberloq Technologies Inc
CLOW.OB	Cloudweb Inc
CLPBF.OB	Coloplast As
CLPBY.OB	Coloplast As ADR
CLPHF.OB	Clp Holdings Ltd
CLPHY.OB	Clp Holdings Ltd Spo ADR
CLPIF.OB	Compagnie Des Alpes Sa
CLPMF.OB	Clip Money Inc
CLPXF.OB	China Longyuan Power Group
CLPXY.OB	China Longyuan Power Group
CLRD.OB	Clearday Inc
CLRI.OB	Cleartronic Inc
CLRMF.OB	Clean Air Metals Inc
CLRN.OB	Clarent Corp
CLRPF.OB	Clarity Pharmaceuticals Ltd
CLRSF.OB	Castile Res Ltd
CLSH.OB	Cls Holdings USA Inc
CLSPF.OB	Canadian Life Cos Split Corp
CLTFF.OB	Celtic Plc.
CLVLF.OB	Clinuvel Pharmaceuticals Ltd
CLVLY.OB	Clinuvel Pharmaceuticals Ltd
CLWY.OB	Calloway's Nursery
CLYYF.OB	Celyad Oncology Sa
CLZNF.OB	Clariant Ag
CLZNY.OB	Clariant Ag
CMAKY.OB	China Minsheng Banking Corp. Ltd
CMAUF.OB	Chibougamau Independant Mines Inc
CMCLF.OB	Cmoc Group Ltd
CMCXF.OB	Cmc Metals Ltd
CMCZ.OB	Curtis Mathes Corp
CMDXF.OB	Computer Modelling Group Ltd
CMEIF.OB	China Meidong Auto Hldgs
CMFO.OB	China Marine Food Group
CMGHY.OB	Chaoda Modern Agriculture Holdings Ltd
CMGMF.OB	Chemring Group Plc.
CMGMY.OB	Chemring Group Plc.
CMGO.OB	Cmg Holdings Inc
CMGR.OB	Clubhouse Media Group Inc
CMHF.OB	Community Heritage Financial Inc
CMHHF.OB	China Merchants Port Holdings Company Limited
CMHZ.OB	Banny Cosmic International Holdings
CMILF.OB	Capella Minerals Ltd
CMMCF.OB	Cimco Marine Ab
CMMMF.OB	Comstock Metals
CMOPF.OB	Cosmo Pharmaceuticals NV
CMOT.OB	Curtiss Motorcycles Company Inc
CMPD.OB	Compumed Inc
CMPGF.OB	Compass Group Plc
CMPGY.OB	Compass Group ADR
CMPNF.OB	Champion Real Estate Investment Trust
CMPRF.OB	Gentera Sab DE Cv
CMPY.OB	Comepay Inc
CMRA.OB	Comera Life Sciences Holdings Inc
CMRAW.OB	Comera Life Sciences Holdings Inc
CMRB.OB	First Commerce Bancorp Inc
CMRF.OB	Cim Real Estate Fin TR
CMRZF.OB	Commerce Resources Corp
CMSQF.OB	Computershare Ltd AUD
CMSQY.OB	Computershare Ltd SP ADR
CMSYF.OB	Comsys Holdings Corp
CMTDF.OB	Chuo Mitsui Trust Ho
CMTNF.OB	Cullinan Metals Corp
CMTOY.OB	Cementos Argos S.A.
CMTV.OB	Community Bancorp Inc VT
CMTX.OB	Comtex News Network Inc
CMUV.OB	Cmuv Bancorp
CMVLF.OB	Cellectis Romainville
CMWAY.OB	Commonwealth Bank of ADR
CMXC.OB	Cell Medx Corp
CMXHF.OB	Csl Ltd
CNADF.OB	Canadabis Cap Inc
CNAF.OB	Commercial National Financial Corp
CNBB.OB	Cnb Community Bancorp Inc
CNBL.OB	Citizens National Bancshares of Bossier
CNBN.OB	Cnb Bank Shares Inc
CNBP.OB	Cornerstone Bancorp Inc ]
CNBX.OB	Cnbx Pharmaceuticals Inc
CNBZ.OB	Cnb Corp [Mi]
CNCOF.OB	Core Nickel Corp
CNCT.OB	China Teletech Holding Inc
CNDCF.OB	Canadian Banc Corp
CNDGF.OB	Condor Gold Plc
CNDHF.OB	Conduit Hldgs Ltd
CNER.OB	China New Energy Group Co.
CNFN.OB	Cfn Enterprises Inc
CNGGF.OB	Cann Group Ltd
CNGI.OB	Concordis Group Inc
CNGKY.OB	Ck Asset Hldgs Ltd
CNHC.OB	China Health MGT
CNIKF.OB	Canada Nickel Company Inc
CNLHN.OB	Connecticut Light & Power Co.
CNLHO.OB	Connecticut Light & Power 4.50% Pfd 56
CNLHP.OB	Connecticut Light & Power Co.
CNLMF.OB	Collective Mng Ltd
CNLPL.OB	Connecticut Light & Power $3.24
CNLPM.OB	Connecticut Light & Power $2.06
CNLTL.OB	Connecticut Light & Power $1.90 Pfd 47
CNLTN.OB	Connecticut Light & Power $2.00
CNLTP.OB	Connecticut Light & Power Co.
CNNA.OB	Cann American Corp
CNNC.OB	Cannonau Corp
CNND.OB	Canandaigua Natl Cor
CNNEF.OB	Canacol Energy Ltd
CNNN.OB	Connexionone Corp
CNOBF.OB	Hemlo Explorers Inc
CNPOF.OB	Riv Cap Inc
CNPRF.OB	Condor Energies Inc
CNPTF.OB	Central Petroleum Ltd
CNPWM.OB	Conn Lt & Pwr $2.09
CNPWP.OB	Connecticut Light & Power Co.
CNQQF.OB	Clean Teq Water Ltd
CNRAF.OB	Vincinity Centres
CNRCF.OB	Canter Res Corp
CNRD.OB	Conrad Industries Inc
CNRFF.OB	Consorcio Ara Sab DE Cv
CNRIF.OB	Condor Resources Inc
CNRSF.OB	Canadian North Res
CNSRF.OB	Coinshares International Limited
CNSUF.OB	Canasil Resources Inc
CNSWF.OB	Constellation Software Inc
CNTHN.OB	Connecticut Light & Power Co.
CNTHO.OB	Conn Lt & Pwr 5.28%
CNTHP.OB	Conn Lt & Pwr 6.56%
CNTMF.OB	Cansortium Inc
CNTRF.OB	Centr Brands Corp
CNTTQ.OB	Canntrust Holdings Inc
CNUCF.OB	Canuc Resources Corp
CNUN.OB	Community Bancshares Inc
CNUTF.OB	Canadian Utilities Ltd
CNVCF.OB	Canna-V-Cell Sciences
CNVEF.OB	Cenovus Energy Inc
CNVT.OB	Cvf Technologies Corp
CNVVF.OB	Convatec Group Plc
CNVVY.OB	Convatec Group Plc
COCBF.OB	Coastal Caribbean Oils & Minerals Ltd
COCSF.OB	Coca-Cola Femsa S.A.B DE Cv
CODAF.OB	Codan Ltd
CODGF.OB	Compagnie DE ST Goba
CODQL.OB	Coronado Global Res Inc
CODYY.OB	Compagnie DE Saint G ADR
COFAF.OB	Coface Sa
COFE.OB	Coffee Inc
COGDF.OB	Compass Gold Corp
COGNY.OB	Kroton Educacional S.A. ADR
COGZF.OB	Cogstate Ltd
COIHF.OB	Croda International Plc
COIHY.OB	Croda International Plc
COLDF.OB	Cardno Ltd
COMCF.OB	Canada One Mng Corp
CONXF.OB	Nickel 28 Cap Corp
COOSF.OB	Carbios Sa
COPAF.OB	Copaur Minerals Inc
COPHF.OB	Melodiol Global Health Ltd
COPJF.OB	Cooper Energy Ltd
COPR.OB	Idaho Copper Corp
CORBF.OB	Global Cord Blood Corp
CORR.OB	Corenergy Infrastructure Trust Inc
CORRL.OB	Corenergy Infrastructure Trust Inc Pfd A
CORZQ.OB	Core Scientific Inc
COSAF.OB	Cosa Res Corp
COSG.OB	Cosmos Group Holdings Inc
COSLF.OB	Co2 Solutions Inc
COSO.OB	Coastalsouth Bancshares Inc
COTRP.OB	Structured Products Corp
COUV.OB	Corporate Universe Inc
COVCF.OB	Cover Corp
COVTY.OB	Covestro Ag ADR
COWI.OB	Carbonmeta Technologies Inc
COWPP.OB	Canal Capital Corp
COWTF.OB	Barclays Bank Plc
CPAMF.OB	Capitaland Integrated Comm Tr.
CPBLF.OB	Als Ltd
CPCAF.OB	Cathay Pacific Airwa
CPCAY.OB	Cathay Pacific Airways Ltd
CPCPF.OB	Coppercorp Resources Inc
CPFXF.OB	Copper Fox Metals Inc
CPHRF.OB	Cipher Pharmaceuticals Inc
CPIVF.OB	Captiva Verde Wellness Corp
CPKF.OB	Chesapeake Financial Shares Inc
CPLCF.OB	Blackrock Ltd Ishares M
CPLFF.OB	Copperleaf Technologies Inc
CPMD.OB	Cannapharmarx Inc
CPMV.OB	Mosaic Immunoengineering Inc
CPNFF.OB	Carpathian Gold Inc
CPOIF.OB	Capstone Infrastructure Corp
CPPCY.OB	Cp All Public Ltd
CPPKF.OB	Faraday Copper Corp
CPPMF.OB	Coppernico Metals Inc
CPPTL.OB	Copper Property Ctl Pass Through Trust
CPTFF.OB	Xtrackers Ie Plc
CPTKW.OB	Crown Proptech Acquisitions
CPTP.OB	Capital Properties Inc
CPWHF.OB	Ceres Power Holdings Plc
CPWR.OB	Ocean Thermal Energy Corp
CPWY.OB	Clean Energy Pathways Inc
CPXGF.OB	Cineplex Galaxy Inc
CPXWF.OB	Capital Power Corp
CPYYF.OB	Centrica Plc
CPYYY.OB	Centrica Plc ADR
CQRLF.OB	Conquest Resources Ltd
CRARF.OB	Credit Agricole Sa
CRARY.OB	Credit Agricole S.A.
CRAWA.OB	Crawford United Corporatoin
CRBBF.OB	Corby Spirit and Wine Ltd
CRBJF.OB	China Resources Land Ltd
CRBJY.OB	China Resources Land Ltd
CRCQW.OB	California Resources Corp
CRCUF.OB	Canagold Res Ltd
CRCW.OB	The Crypto Company
CRDE.OB	Cardinal Ethanol Llc
CRDIY.OB	Concordia Financial Group Ltd
CRDOF.OB	Cerrado Gold Inc
CRDV.OB	Community Redevelopment Inc
CREAF.OB	Creative Tech Ord
CRECF.OB	Critical Elements Corp
CREEF.OB	Crescera Capital Acquisition Corp Cl A
CREQF.OB	China Rare Earth Holdings Ltd
CRERF.OB	Carre Four Supermarc
CRFQF.OB	Zedcor Inc
CRFTF.OB	Pasha Brands Ltd
CRFU.OB	Carefree Group Inc
CRGGF.OB	China Resources Gas Group Ltd
CRGP.OB	Calissio Resources Group Inc
CRHKY.OB	China Res Enterp ADR
CRKT.OB	Cirmaker Technology Corp
CRLBF.OB	Cresco Labs Inc
CRLFF.OB	Cardinal Energy Ltd
CRLKP.OB	Central Parking Finance Trust
CRMBQ.OB	Crumbs Bake Shop Inc
CRMZ.OB	Creditriskmonitor.com Inc
CRNCY.OB	Capricorn Energy Plc
CROMF.OB	Crombie Real Estate
CROOF.OB	Cariboo Rose Resources Ltd
CRPHY.OB	Ceres Power Holdings Plc
CRPJY.OB	China Resources Power Holdings Co. Ltd
CRPLF.OB	Capital & Regional Plc
CRPOF.OB	Ceapro Inc
CRRFY.OB	Carrefour S.A. ADR
CRRTF.OB	Crescita Therapeutics Inc
CRSB.OB	Cornerstone Community Bancorp
CRSM.OB	Carsmartt Inc
CRSXF.OB	Corsa Coal Corp
CRTDW.OB	Creatd Inc
CRTG.OB	The Coretec Group Inc
CRTHF.OB	Carsgen Therapeutics Hldgs Ltd
CRTIF.OB	Cartier Silver Corp
CRTL.OB	Cartel Blue Inc
CRTSF.OB	Chr. Hansen Holding
CRUCF.OB	Colibri Resource Cor
CRVH.OB	Chilco River Hld Inc
CRVW.OB	Careview Communications Inc
CRWE.OB	Crown Equity Holdings Inc
CRWOF.OB	China Railway Group Ltd
CRWWF.OB	Crescera Capital Acquisition Corp WT
CRXM.OB	Taxus Cardium Pharmaceuticals Group
CRXPF.OB	Vert Infrastructure Ltd
CRYBD.OB	Cryptoblox Technologies Inc
CRYBF.OB	Cryptoblox Technologies Inc
CRYCY.OB	China Railway Signal & Communication Corp Ltd Ad
CRYM.OB	Cryomass Technologies Inc
CRYO.OB	American Cryostem Corp
CRZBF.OB	Commerzbank Ag Beare
CRZBY.OB	Commerzbank Ag ADR
CRZWQ.OB	Core Scientific Inc WT
CRZY.OB	Crazy Woman Creek Bancorp Inc
CSBB.OB	C S B Bancorp Ohio
CSBTF.OB	Kuros Bioscience Ltd
CSCCF.OB	Capstone Copper Corp
CSCMY.OB	Cosco Shipping International [Singapore] Co. Lt
CSHX.OB	Cashmere Valley Bank
CSIOY.OB	Casio Computer Co. Ltd
CSKL.OB	Catskill Hudson Bancorp Inc
CSKRF.OB	CS ETF Ie On MSCI Korea
CSLI.OB	Critical Solutions Inc
CSLLY.OB	Csl Ltd ADR
CSNVF.OB	Corbion NV
CSNVY.OB	Corbion NV
CSOC.OB	Caduceus Software Systems Corp
CSOL.OB	China Solar & Clean Energy Solutions Inc
CSPCY.OB	Cspc Pharmaceutical Group Ltd ADR
CSPHF.OB	Cstone Pharmaceuticals
CSPKF.OB	Cosco Pacific Ltd
CSPKY.OB	Cosco Shipping Ports Limited
CSRNF.OB	Canstar Resources Inc
CSRVF.OB	Cross River Ventures Corp
CSSI.OB	Costas Inc
CSTF.OB	Curascientific Corp
CSTNL.OB	CS ETF Ie On S&P 500
CSTPF.OB	Arrow Exploration Corp
CSTXF.OB	Cryptostar Corp
CSUAY.OB	China Shenhua Energy Company Ltd
CSUI.OB	Cannabis Suisse Corp
CSXXY.OB	Car Group Ltd
CSYJF.OB	CSE Global Ltd
CTABF.OB	Canntab Therapeutics Ltd
CTAGY.OB	Capita Plc
CTARF.OB	Centaurus Energy Inc
CTCGF.OB	C2C Gold Corp
CTGL.OB	Citrine Global Corp
CTHCF.OB	Cotec Holdings Corp
CTJHY.OB	Citic Resources Holdings Ltd
CTKYY.OB	Cootek Inc
CTLDF.OB	Controladora Axtel Sab DE Cv
CTLHF.OB	Cleantech Lithium Plc.
CTLPP.OB	Cantaloupe Inc
CTMCF.OB	Canterra Minerals Corp
CTNI.OB	Citron Inc
CTOUF.OB	Charter Hall Group
CTPCF.OB	Citic Ltd
CTPCY.OB	Citic Pacific ADR
CTRGF.OB	Country Garden Svcs Hldgs CO Ltd
CTRRF.OB	CT Real Estate Investment Trust
CTRYF.OB	Country Garden Holdings Co. Ltd
CTRYY.OB	Country Garden Holdings Ltd ADR
CTSDF.OB	Converge Technology Partners Inc
CTTAF.OB	Continental Ag
CTTAY.OB	Contl Ag Bearer Shs ADR
CTTH.OB	Ctt Pharmaceutical Hlds Inc
CTTMF.OB	Catena Media Plc
CTTOF.OB	Ctt Correios DE Portugal S.A. [Portugal]
CTTQF.OB	Costa Group Hldgs Ltd
CTTZF.OB	Centaurus Metals Ltd
CTUNF.OB	Clean Seas Seafood Ltd
CTUY.OB	Century Next Finl Co.
CTVEF.OB	Certive Solutions Inc
CTXAF.OB	Ampol Ltd
CTXAY.OB	Ampol Ltd
CTXDF.OB	Cantex Mine Development Corp
CTXXF.OB	Cematrix Corp
CTYLF.OB	City Lodge Hotels Ltd
CTYMF.OB	Catalyst Metals Ltd
CUAUF.OB	C3 Metals Inc
CUBT.OB	Curative Biotechnology Inc
CUBXF.OB	Cubicfarm Systems Corp
CUCSF.OB	China Communications Service Shs -H- [China]
CUKPF.OB	Carnival Plc
CULTF.OB	Cult Food Science Corp
CUPUF.OB	Caribbean Utilities
CURLF.OB	Curaleaf Holdings Inc
CURN.OB	Currency Exchange International Corp
CURUF.OB	Consolidated Uranium Inc
CURZ.OB	Curzio Resh Inc
CUSI.OB	Cuisine Solutions
CUYRF.OB	C Uyemura & CO Ltd
CUYTY.OB	Colruyt Group N.V.
CVAT.OB	Cavitation Technologies Inc
CVGRF.OB	City View Green Holdings Inc
CVHL.OB	Cv Holdings Inc
CVHSY.OB	Cablevision Hldgs Sa
CVMCA.OB	Sila Realty Trust Inc
CVONF.OB	Carnarvon Energy Limited
CVPBF.OB	C.P. All Public CO Ltd
CVPUF.OB	C.P. All Public CO Ltd
CVSGF.OB	CVS Group Plc
CVSI.OB	Cv Sciences Inc
CVST.OB	Covista Comm Inc
CVUEF.OB	Clearvue Technologies Ltd
CVVRF.OB	Vertical Exploration Inc
CVVTF.OB	Covestro Ag
CVVUF.OB	Canalaska Uranium
CWAFF.OB	China Water Affairs Group Ltd
CWBHF.OB	Charlotte's Web Holdings Inc
CWBK.OB	Cw Bancorp
CWBR.OB	Cohbar Inc
CWEGF.OB	Crew Energy Inc
CWGL.OB	Crimson Wine
CWGYF.OB	Carnegie Clean Energy Ltd
CWID.OB	Country-Wide Insurance Co.
CWLPF.OB	Caldwell Part Intl
CWPE.OB	Cw Petroleum Corp
CWPS.OB	Conwest Assoc Part L
CWPWF.OB	Concord New Energy Group Ltd
CWQXF.OB	Castellum Ab
CWSFF.OB	Cielo Waste Solutions Corp
CWSRF.OB	Chartwell Retirement
CWTC.OB	Clearwave Telecommunications
CWVLF.OB	Crown Point Energy Inc
CWVWF.OB	Storm Expl Inc
CWXZF.OB	Doman Building Materials Group Ltd
CWYUF.OB	Smartcentres Real Estate Investment Trust
CXBMF.OB	Calibre Mining Corp
CXCQ.OB	Cardxx Inc
CXMSF.OB	Cemex S.A.B DE C.V.
CXOXF.OB	Core Lithium Ltd
CXXIF.OB	C21 Investments Inc
CXXMF.OB	Cmx Gold & Silver Corp
CYAGF.OB	Cyber Agent Inc
CYAP.OB	Cyber Apps World Inc
CYBCF.OB	Cybeats Technologies Corp
CYBD.OB	Cyber Digital Inc
CYBL.OB	Cyberlux Corp
CYBQF.OB	Cyberdyne Inc
CYBQY.OB	Cyberdyne Inc
CYCA.OB	Cytta Corp
CYDVF.OB	Century Lithium Corp
CYDX.OB	Cyduct Diagnostics Inc
CYDY.OB	Cytodyn Inc
CYFL.OB	Century Financial Corp
CYFRF.OB	Cypherpunk Hldgs Inc
CYGIY.OB	Cyber Agent Inc
CYGT.OB	Cygnus Etransactions Group Inc
CYIO.OB	Cyios Corp
CYLC.OB	County Line Energy Corp
CYLYF.OB	Ceylon Graphite Corp
CYMBF.OB	Cymbria Corp
CYMHF.OB	Cymat Technologies Ltd
CYNXF.OB	International Metals Mng Corp
CYRBY.OB	Cyrela Brazil Rly Ad ADR
CYRNQ.OB	Cyren Ltd
CYSM.OB	Community Bancorp of Santa Maria
CYSNF.OB	C-COM Satellite Systems Inc
CYVF.OB	Crystal Valley Finl
CYXTQ.OB	Cyxtera Technologies Inc
CZAVF.OB	Ceske Energeticke Zavody A.S.
CZBC.OB	Citizens Bancorp Cor
CZBS.OB	Citizens Bancshares Corp
CZBT.OB	Citizens Bancorp of Virginia Inc
CZGZF.OB	Czg Ceska Zbrojovka Group Se
CZMWF.OB	Carl Zeiss Meditec Ag
CZMWY.OB	Carl Zeiss Meditec Ag
CZNL.OB	Citizens National Corp
CZOWF.OB	Cazoo Group Ltd
DAGXF.OB	DB Agriculture Double Long ETN
DAHSF.OB	Dah Sing Financial Holdings Ltd
DAIUF.OB	Daifuku Company Ltd
DALXF.OB	Spartan Delta Corp
DANOY.OB	Danone ADR
DASTF.OB	Dassault Systemes Sa
DASTY.OB	Dassault Systeme A ADR
DATI.OB	Digital Asset Monetary Network Inc
DAUGF.OB	Desert Gold Ventures Inc
DBCCF.OB	Decibel Cannabis CO Inc
DBIN.OB	Dacotah Banks Inc
DBKSF.OB	Spetz Inc
DBLVF.OB	Doubleview Cap
DBMBF.OB	Deutsche Bank
DBMM.OB	Digital Brand Media & Marketing Group Inc
DBMXF.OB	Deutsche Bank Mexico Sa
DBOEF.OB	Deutsche Boerse Ag
DBOEY.OB	Deutsche Boerse Ag ADR
DBOXF.OB	D-Box Technologies Inc
DBRM.OB	Daybreak Oil & Gas Inc
DBSDF.OB	Dbs Group Holdings Ord
DBSDY.OB	Dbs Group Holdings Ltd ADR
DBXRF.OB	Xtrackers
DCCNF.OB	Dacian Gold Ltd
DCCPF.OB	Dcc Plc
DCHIY.OB	Digital China Holdings Ltd
DCLIF.OB	Discovery Lithium Inc
DCLT.OB	Data Call Technologi
DCMDF.OB	Data Communications Management Corp
DCNND.OB	
DCNNF.OB	Quest Critical Metals Inc
DCNSF.OB	Dai-Ichi Life Holdings Inc
DCSX.OB	Direct Communication Solutions Inc
DCTIF.OB	Delta Cleantech Inc
DCYHF.OB	Discovery Holdings Ltd
DDCCF.OB	Branicks Group Ag
DDDX.OB	3Dx Industries Inc
DDEJF.OB	Dundee Corp Cl A
DDNFF.OB	Adamera Minerals Corp
DDWWF.OB	Dividend Growth Split Corp
DECN.OB	Decision Diagnostics Corp
DECPD.OB	Diversified Energy Company Plc
DECPF.OB	Diversified Energy Company Plc
DECXF.OB	Decade Resources Ltd
DEDVF.OB	Decisive Divid Corp
DEER.OB	Deer Consumer Products Inc
DEFG.OB	Grayscale Decentralized Finance [Defi] Fund Llc
DEFTF.OB	Valour Inc
DELCF.OB	Delic Holdings Corp
DELHF.OB	De'Longhi S.P.A.
DELHY.OB	Delivery Hero Ag Na
DELKY.OB	Delek Group Ltd
DELRF.OB	DE LA Rue Plc
DEMWF.OB	Wisdomtree Issuer Icav
DENI.OB	Denali Bancorp Inc
DEQI.OB	Direct Equity Intl
DETRF.OB	Deterra Royalties Ltd
DEUZF.OB	Deutz Ag
DEVM.OB	Devmar Equities Inc
DEWY.OB	Dewey Electronics Corp
DEXSF.OB	Dexus Fully Paid Units Stapled Securities
DFCO.OB	Dalrada Financial Corp
DFEL.OB	China Tmk Battery Systems Inc
DFIFF.OB	Dfr Gold Inc
DFKCY.OB	Daifuku Ltd ADR
DFMTF.OB	Defense Metals Corp
DFRYF.OB	Dufry Ag Basel Namen
DFTC.OB	Defentect Group Inc
DFYFF.OB	Definity Finl Corp
DGDCF.OB	Dynasty Gold Corp
DGEAF.OB	Diageo Plc New Ord
DGGXF.OB	Digitalx Ltd
DGIX.OB	Dyna Group International Inc
DGMLF.OB	DE Grey Mining Ltd
DGNG.OB	Diguang International Development Company Ltd
DGNOF.OB	Diagnos Inc
DGTHF.OB	Dgtl Holdings Inc
DGWPF.OB	Draegerwerk Ag
DGWR.OB	Deep Green Waste & Recycling Inc
DHBUF.OB	Delivra Health Brands Inc
DHCC.OB	Diamondhead Casino Corp
DHHXF.OB	Desarrolladora Homex Sa DE Cv
DHLGY.OB	Deutsche Post Ag ADR
DIAH.OB	Diamond Holdings Inc
DIALF.OB	Dialight Plc.
DIDIY.OB	Didi Global Inc ADR
DIFTY.OB	Daito Trust Construc
DIGI.OB	Digitiliti Inc
DIGP.OB	Digipath Inc
DIIBF.OB	Dorel Industries Inc
DIISF.OB	Direct Line Insurance Group Plc
DIISY.OB	Direct Line Insurance Group Plc
DIMC.OB	Dimeco Inc
DINRF.OB	Screen Holdings Co. Ltd
DIOSF.OB	Dios Exploration
DIPGF.OB	Datang International Power Generation Co. Ltd
DISPF.OB	Disco Corp
DITTF.OB	Daito Trust Construction Ltd
DKDRF.OB	Newmed Energy Ltd
DKILF.OB	Daikin Industries Ltd
DKILY.OB	Daikin Inds Ltd ADR
DKLRF.OB	Decklar Res Inc
DKSC.OB	Dakshidin Corporatio
DLAKF.OB	Deutsche Lufthansa Ag
DLAKY.OB	Deutsche Lufthansa S ADR
DLGCF.OB	Datalogic Spa
DLGEF.OB	Digital Garage Inc
DLGI.OB	Datalogic International Inc
DLICY.OB	Dai-Ichi Life Holdings Inc
DLKGF.OB	Delek Group Ltd
DLMAF.OB	Dollarama Inc
DLMI.OB	Diamond Lake Minerals Inc
DLNDY.OB	D&L Industries Inc
DLOC.OB	Digital Locations Inc
DLPRF.OB	Dlp Res Inc
DLPTF.OB	Liaoning Port CO Ltd
DLPX.OB	Delphax Tech Inc
DLTI.OB	Dlt Resolution Inc
DLTNF.OB	Delta 9 Cannabis Inc
DLUEY.OB	DE LA Rue
DLVHF.OB	Delivery Hero Ag Na
DLYT.OB	Dais Corp
DMAN.OB	Demand Brands Inc
DMCHY.OB	Dmci Holdings Inc
DMCOF.OB	Damico International Shipping Sa
DMDD.OB	Diamond Discoveries International Corp
DMEHF.OB	Desert Mountain Energy Corp
DMFG.OB	Decker Manufacturing Corp
DMGGF.OB	Dmg Blockchain Solutions Inc
DMIFF.OB	Diamcor Mining Inc
DMPZF.OB	Domino's Pizza Australia New Zealand
DMSIW.OB	Digital Media Solutions Inc
DMSL.OB	Digital Media Solutions Inc
DMTKW.OB	Dermtech WT
DMXCF.OB	District Metals Corp
DNACF.OB	Dena Co. Ltd
DNAX.OB	Dna Brands Inc
DNBBF.OB	Dnb Nor Bank ASA
DNBBY.OB	Dnb ASA
DNCVF.OB	Defiance Silver Corp
DNFGF.OB	Dongfeng Motor Group Co. Ltd
DNGDF.OB	Dynacor Group Inc
DNGFF.OB	Dong Fang Electric Mach Co.
DNIF.OB	Chartwell Dividend & Income Fund
DNKEY.OB	Danske Bank A/S ADR
DNLMY.OB	Dunelm Group Plc
DNNGY.OB	Orsted ADR
DNOPY.OB	Dino Polska Sa
DNPLY.OB	Dai Nippon Prtg ADR
DNPUF.OB	Dai Nippon Pharm Ord
DNRSF.OB	Denarius Metals Corp
DNSKF.OB	Danske Bank A/S
DNTCF.OB	Dentalcorp Hldgs Ltd
DNTUF.OB	Dentsu Inc
DNTUY.OB	Dentsu Inc ADR
DNVB.OB	Denver Bankshares Inc
DNZOF.OB	Denso Corp Ltd Ord
DNZOY.OB	Denso Corp Ltd ADR
DOCKF.OB	Beyond Med Technologies Inc
DOCMF.OB	Dr Martens Plc
DOCRF.OB	Cloudmd Software & Services Inc
DODRW.OB	Diamond Offshore Drilling Inc
DOGEF.OB	Orsted A/S
DOLLF.OB	Dolly Varden Silver
DOMAW.OB	Doma Holdings Inc
DOMR.OB	Dominion Resources Black Warrior Trust
DOMWF.OB	Prime Drink Group Corp
DOSEF.OB	Doseology Sciences Inc
DOUUF.OB	Douugh Limited
DPAT.OB	Dental Patient Care Amer
DPCDF.OB	Dpc Dash Ltd
DPLS.OB	Darkpulse Inc
DPMAY.OB	Diploma Plc.
DPMLF.OB	Dundee Precious Metl
DPNEY.OB	Daphne International Holdings Ltd
DPSTF.OB	Deutsche Post Ag
DPUI.OB	Discount Print USA Inc
DPUKY.OB	Dominos Pizza UK & I
DPXCF.OB	Delphx Capital Markets Inc
DPZUF.OB	Domino's Pizza Australia New Zealand
DQJCY.OB	Pan Pac Intl Hldgs Corp
DQWS.OB	Dswiss Inc
DRCMF.OB	Dore Copper Mining Corp
DRCR.OB	Dear Cashmere Holding Co.
DRDGF.OB	Drdgold Ltd
DREM.OB	Dream Homes & Development Corp
DRETF.OB	Dundee Real Est TR
DREUF.OB	Dundee Real Estate
DRFS.OB	Dr. Foods Inc
DRGV.OB	Dragon Capital Group Corp
DRKTF.OB	Darktrace Plc
DRKTY.OB	Darktrace Plc
DRMKY.OB	Dormakaba Hldg Ag
DRMTY.OB	Dr Martens Plc
DRNG.OB	Drone Guarder Inc
